Run_Type_General Ed PM Run,Reason_Other,Occured_on_Thu,Occured_Between_11_to_12,Boro_Brooklyn,Bus_Company_Name_ALL AMERICAN SCHOOL BUS C,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_No,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Other
Run_Type_Special Ed PM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_11_to_12,Boro_Manhattan,Bus_Company_Name_CONSOLIDATED BUS TRANS. I,Delayed_16-30_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_Yes,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Won`t Start,Occured_on_Thu,Occured_Between_23_to_24,Boro_Queens,Bus_Company_Name_LORINDA ENT. LTD.,0_Students,Has_Contractor_Notified_Schools_No,Has_Contractor_Notified_Parents_No,Have_You_Alerted_OPT_No,Result_Won`t Start
Run_Type_Special Ed AM Run,Reason_Other,Occured_on_Mon,Occured_Between_6_to_7,Bus_Company_Name_ACME BUS CORP. (B2321),Delayed_0-15_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Other
Run_Type_Special Ed PM Run,Reason_Flat Tire,Occured_on_Thu,Occured_Between_11_to_12,Boro_Queens,Bus_Company_Name_LITTLE RICHIE BUS SERVICE,Delayed_31-60_MINs,0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Flat Tire
Run_Type_Pre-K/EI,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_11_to_12,Boro_Bronx,"Bus_Company_Name_G.V.C., LTD.",Delayed_0-15_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Heavy Traffic
Run_Type_Special Ed AM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_11_to_12,Boro_Brooklyn,"Bus_Company_Name_NEW DAWN TRANSIT, LLC (B2",0_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Mechanical Problem
Run_Type_Special Ed PM Run,Reason_Mechanical Problem,Occured_on_Thu,Occured_Between_11_to_12,Boro_Bronx,"Bus_Company_Name_BORO TRANSIT, INC.",1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_No,Result_Mechanical Problem
Run_Type_Special Ed AM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_7_to_8,Bus_Company_Name_ACME BUS CORP. (B2321),Delayed_16-30_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Heavy Traffic
Run_Type_Special Ed AM Run,Reason_Heavy Traffic,Occured_on_Thu,Occured_Between_7_to_8,Bus_Company_Name_ACME BUS CORP. (B2321),Delayed_0-15_MINs,1-10_Students,Has_Contractor_Notified_Schools_Yes,Has_Contractor_Notified_Parents_Yes,Have_You_Alerted_OPT_Yes,Result_Heavy Traffic
